#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
32,Brandon Miller,CHA,27,34.2,21,7.3,18.2,40.3,3.9,10.9,35.5,2.5,2.9,86.1,0.9,3.9,4.9,3.6,1.1,0.7,2.8,17.3
33,Darius Garland,CLE,39,30.1,21,7.5,15,50.2,2.9,6.8,42.1,3.1,3.4,90.2,0.5,2,2.5,6.8,1.1,0.2,2.4,21.3
34,Nikola Vučević,CHI,41,32.2,20.6,8.4,15,56.1,2,4.7,42,1.7,2.1,80.7,2.4,8,10.4,3.3,0.8,0.6,1.6,27.1
35,Jalen Williams,OKC,41,32.4,20.6,8,16.9,47.5,1.7,5,33.8,2.9,3.7,78.1,0.8,4.9,5.7,5.2,1.8,0.7,2.3,21.9
36,Domantas Sabonis,SAC,38,36.1,20.6,8.1,13.5,60,1.1,2.4,47.8,3.2,4.2,77.2,3.9,10.2,14.1,6.3,0.7,0.5,2.9,32.9
37,Pascal Siakam,IND,42,33.3,20.1,7.8,14.9,52.3,1.8,4.4,41,2.7,3.6,75.5,1.7,5.7,7.3,3.4,0.9,0.3,1.3,22.8
38,Jamal Murray,DEN,35,35.8,20.1,7.4,16.3,45.3,2.2,5.7,38.8,3.1,3.7,85.9,0.5,3.5,4,6.1,1.5,0.6,2.3,20.6
39,Lauri Markkanen,UTA,31,31.7,20.1,6.3,14.8,42.8,3.1,8.4,36.5,4.4,5,88.3,1.7,4.4,6.1,1.9,0.8,0.3,1.4,18.8
40,Jalen Johnson,ATL,32,36.3,19.8,7.9,15.4,51.2,1.4,4.2,33.1,2.7,3.5,75.2,1.8,8.3,10.1,5.3,1.5,1.1,3,26.4
41,Cameron Johnson,BKN,33,32.5,19.6,6.5,13,49.9,3.2,7.6,42.8,3.4,3.8,89.7,0.8,3.4,4.2,3,0.8,0.5,1.6,19.5
